"","State","Total.Population","CoC","Total.Homeless","Homeless.Over.24","Homeless.Under.24","Homeless.Female","Homeless.Male","Homeless.Trans","Homeless.NC","Homeless.Non.Lat","Homeless.Lat","Homeless.White","Homeless.Black","Homeless.Asian","Homeless.Indian","Homeless.Native","Region"
"1","AK",733391,2,1949,1426,523,828,1114,3,4,1823,126,634,137,22,890,40,"W"
"2","AL",5024279,8,3351,2625,726,1294,1988,9,4,3214,126,1462,1755,2,37,11,"S"
"3","AR",3011524,4,2366,1913,453,798,1561,5,2,2313,53,1353,901,4,42,21,"S"
"4","AS",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W"
"5","AZ",7151502,3,10979,8433,2546,4228,6694,43,14,8624,2355,6901,2289,77,1027,60,"W"
"6","CA",39538223,44,161548,132016,29532,53505,105737,1601,705,109582,51966,87439,49610,3240,6386,1784,"W"
"7","CO",5773714,4,9846,7748,2098,3198,6562,53,33,7565,2281,6411,1808,51,527,136,"W"
"8","CT",3605944,2,2905,2112,793,1107,1785,6,7,2058,847,1519,1065,16,34,10,"NE"
"9","DC",689545,1,6380,4400,1980,2577,3746,48,9,5823,557,506,5618,38,26,20,"S"
"10","DE",989948,1,1165,828,337,463,701,0,1,1064,101,412,678,3,7,1,"S"
"11","FL",21538187,27,27487,21262,6225,9743,17670,52,22,23442,4045,15102,11042,128,328,73,"S"
"12","GA",10711908,9,10234,8037,2197,3743,6340,44,107,9714,520,3031,6708,92,64,21,"S"
"13","GU",168801,1,790,418,372,357,431,2,0,771,19,21,3,14,1,727,NA
"14","HI",1455271,2,6458,4961,1497,2521,3874,36,27,5523,935,1469,295,564,83,2160,"W"
"15","IA",3190369,3,2647,1912,735,993,1642,9,3,2464,183,1760,596,19,121,9,"MW"
"16","ID",1839106,2,2315,1574,741,1035,1276,3,1,1901,414,1904,52,13,230,17,"W"
"17","IL",12812508,19,10431,7261,3170,4300,6096,32,3,9302,1129,3671,6333,96,82,21,"MW"
"18","IN",6785528,2,5625,4295,1330,2182,3420,16,7,5278,347,3492,1783,37,50,21,"MW"
"19","KS",2937880,5,2449,1829,620,928,1516,3,2,2184,265,1512,553,15,96,2,"MW"
"20","KY",4505836,3,4011,3162,849,1607,2393,8,3,3875,136,2826,996,19,22,20,"S"
"21","LA",4657757,7,3173,2502,671,967,2192,11,3,3085,88,1165,1908,21,29,5,"S"
"22","MA",7029917,13,17975,9479,8496,8891,9039,33,12,11790,6185,9903,6538,198,86,87,"NE"
"23","MD",6177224,16,6360,4799,1561,2568,3753,31,8,5994,366,2211,3755,56,60,26,"S"
"24","ME",1362359,1,2097,1468,629,940,1143,8,6,2013,84,1631,310,3,48,7,"NE"
"25","MI",10077331,20,8638,5741,2897,3770,4855,8,5,8154,484,4023,3937,53,100,29,"MW"
"26","MN",5706494,10,7940,4868,3072,3408,4485,25,22,7295,645,3016,3302,145,795,50,"MW"
"27","MO",1084225,8,6527,4352,2175,2952,3540,23,12,6201,326,3522,2489,35,87,22,"MW"
"28","MP",51569,1,1207,681,526,576,631,0,0,1207,0,7,0,438,0,758,NA
"29","MS",2961279,3,1107,889,218,395,709,3,0,1089,18,512,554,3,11,5,"S"
"30","MT",1084225,1,1545,1119,426,630,896,10,9,1398,147,1087,51,4,300,10,"W"
"31","NC",10439388,12,9280,7085,2195,3614,5646,18,2,8820,460,4060,4757,30,93,20,"S"
"32","ND",779094,1,541,380,161,226,314,1,0,501,40,285,95,1,131,1,"MW"
"33","NE",1961504,3,2404,1760,644,897,1501,6,0,2075,329,1588,543,22,71,15,"MW"
"34","NH",1377529,3,1675,1184,491,735,935,5,0,1491,184,1474,98,16,6,7,"NE"
"35","NJ",9288994,16,9662,6892,2770,4030,5614,14,4,7690,1972,3681,5418,58,88,48,"NE"
"36","NM",2117522,2,3333,2630,703,1197,2103,19,14,2008,1325,2011,227,14,831,38,"W"
"37","NV",3104614,3,6900,5968,932,2050,4839,11,0,5856,1044,4394,1884,128,147,121,"W"
"38","NY",20201249,24,91271,55104,36167,41881,48905,442,43,60412,30859,21777,62198,937,500,1248,"NE"
"39","OH",11799488,9,10655,7814,2841,4210,6400,43,2,10168,487,5350,4662,54,78,22,"MW"
"40","OK",3959353,8,3932,3137,795,1402,2500,24,6,3642,290,2451,815,13,411,9,"S"
"41","OR",4237256,8,14655,11681,2974,5443,9072,72,68,13271,1384,11916,839,112,711,167,"W"
"42","PA",13002700,16,13375,9327,4048,5388,7910,60,17,11632,1743,5854,6793,65,62,56,"NE"
"43","PR",3285874,2,2451,2262,189,517,1924,10,0,56,2395,1039,465,3,16,6,NA
"44","RI",1097379,1,1104,818,286,431,667,5,1,857,247,656,322,6,24,6,"NE"
"45","SC",5118425,4,4287,3513,774,1579,2699,5,4,4172,115,1887,2160,12,55,6,"S"
"46","SD",886667,1,1058,760,298,448,607,3,0,977,81,265,65,2,699,0,"MW"
"47","TN",6910840,10,7256,5861,1395,2602,4637,14,3,7068,188,4091,2849,29,66,30,"S"
"48","TX",29145505,11,27229,21518,5711,10080,17067,61,21,19684,7545,15778,10001,206,346,89,"S"
"49","UT",3271616,3,3131,2257,874,1250,1863,14,4,2362,769,2367,332,36,162,58,"W"
"50","VA",8631393,16,5957,4331,1626,2395,3547,12,3,5465,492,2233,3169,98,62,16,"S"
"51","VI",105870,1,304,298,6,98,201,0,5,260,44,33,232,0,6,0,NA
"52","VT",643077,2,1110,767,343,498,600,8,4,1069,41,983,62,9,6,4,"NE"
"53","WA",7705281,6,22923,16895,6028,9426,13094,175,228,19863,3060,13904,3953,332,2544,653,"W"
"54","WI",5893718,4,4515,3026,1489,1887,2615,13,0,4115,400,2426,1572,46,201,15,"MW"
"55","WV",1793716,4,1341,1104,237,522,818,1,0,1311,30,1097,181,3,11,3,"S"
