"","State","CoC","Total.Population","Total.Homeless","Homeless.Rate","Homeless.Over.24","Homeless.Under.24","Homeless.Female","Homeless.Male","Homeless.Trans","Homeless.NC","Homeless.Non.Lat","Homeless.Lat","Homeless.White","Homeless.Black","Homeless.Asian","Homeless.Indian","Homeless.Native","Region","0","Rate.Over.24","Rate.Under.24","Female.Rate","Male.Rate","Trans.Rate","NC.Rate","Non.Lat.Rate","Lat.Rate","White.Rate","Black.Rate","Asian.Rate","Indian.Rate","Native.Rate"
"1","AK",2,733391,1949,27,1426,523,828,1114,3,4,1823,126,634,137,22,890,40,"W",0,19,7,11,15,0,0,25,2,9,2,0,12,1
"2","AL",8,5024279,3351,7,2625,726,1294,1988,9,4,3214,126,1462,1755,2,37,11,"S",0,5,1,3,4,0,0,6,0,3,3,0,0,0
"3","AR",4,3011524,2366,8,1913,453,798,1561,5,2,2313,53,1353,901,4,42,21,"S",0,6,2,3,5,0,0,8,0,4,3,0,0,0
"4","AS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AZ",3,7151502,10979,15,8433,2546,4228,6694,43,14,8624,2355,6901,2289,77,1027,60,"W",0,12,4,6,9,0,0,12,3,10,3,0,1,0
"6","CA",44,39538223,161548,41,132016,29532,53505,105737,1601,705,109582,51966,87439,49610,3240,6386,1784,"W",0,33,7,14,27,0,0,28,13,22,13,1,2,0
"7","CO",4,5773714,9846,17,7748,2098,3198,6562,53,33,7565,2281,6411,1808,51,527,136,"W",0,13,4,6,11,0,0,13,4,11,3,0,1,0
"8","CT",2,3605944,2905,8,2112,793,1107,1785,6,7,2058,847,1519,1065,16,34,10,"NE",0,6,2,3,5,0,0,6,2,4,3,0,0,0
"9","DC",1,689545,6380,93,4400,1980,2577,3746,48,9,5823,557,506,5618,38,26,20,"S",0,64,29,37,54,1,0,84,8,7,81,1,0,0
"10","DE",1,989948,1165,12,828,337,463,701,0,1,1064,101,412,678,3,7,1,"S",0,8,3,5,7,0,0,11,1,4,7,0,0,0
"11","FL",27,21538187,27487,13,21262,6225,9743,17670,52,22,23442,4045,15102,11042,128,328,73,"S",0,10,3,5,8,0,0,11,2,7,5,0,0,0
"12","GA",9,10711908,10234,10,8037,2197,3743,6340,44,107,9714,520,3031,6708,92,64,21,"S",0,8,2,3,6,0,0,9,0,3,6,0,0,0
"13","GU",1,168801,790,47,418,372,357,431,2,0,771,19,21,3,14,1,727,NA,0,25,22,21,26,0,0,46,1,1,0,1,0,43
"14","HI",2,1455271,6458,44,4961,1497,2521,3874,36,27,5523,935,1469,295,564,83,2160,"W",0,34,10,17,27,0,0,38,6,10,2,4,1,15
